word,freq
nyx,8159
sex,4
bomb,30
pallet,673
natur,18030
palett,3601
etud,14096
hous,11816
preciou,3549
miner,9642
cushion,31899
pearl,479
aura,423
puff,929
milani,1849
rose,4272
powder,62848
blush,9647
babi,2381
sweet,634
sugar,325
bedak,25313
revlon,3451
color,8083
stay,2169
aqua,1068
make,11625
dr,924
pure,1939
whiten,9698
cream,74568
chanel,2013
malic,6
snail,604
white,9404
origin,24075
100,6344
sunpris,78
proof,256
spf,20067
50,7086
eyebrow,916
satuan,169
rp,39
15.000,3
pc,694
monistat,72
chafe,61
relief,55
gel,6877
tea,1596
balm,8702
meet,957
matt,22956
trimoni,14
laneig,8583
water,2918
base,1838
cc,11898
spf36,35
pa,11661
giordani,808
gold,3418
age,3023
defi,257
compact,6638
foundat,21194
dengan,1312
15,4575
perfect,7369
cover,6720
bodi,1978
shop,4311
refil,10430
moistur,4877
lancom,523
subtil,67
long,1911
last,2684
blusher,1271
colour,1244
veil,170
buildabl,19
intens,2395
missha,3424
line,798
friend,429
magic,9930
2,3513
elf,666
acn,10867
fight,100
beig,6460
biru,809
citi,2814
conceal,10570
contour,6424
pink,11591
vital,71
special,2038
trial,284
kit,1883
isi,2026
4,1378
spf34,195
15gram,156
cleans,818
bb,35971
20ml,1247
cr,433
sale,7463
plu,1857
premium,845
hadalabo,111
gokujyun,45
alpha,42
ultim,441
anti,6828
lotion,1103
100ml,851
toni,798
moli,759
backstag,25
eyelin,872
hera,291
wardah,19297
renew,1251
disc,61
10,1420
shiseido,190
majolica,13
majorca,13
nude,3141
spf50,3685
shu,238
uemura,235
light,10016
bulb,65
sarang,180
bogosipo,39
pact,2168
deep,464
13g,98
free,3942
mask,1205
2pc,123
sampl,1469
30,5820
eye,2153
shadow,572
2in1,1885
muslimah,13
bu,6
sophi,223
pari,899
nature24,4
spot,819
solut,216
lumin,3173
liquid,13700
hand,296
glow,10791
complexion,752
ilumin,45
extra,746
virgin,5
bare,1075
loos,11252
emina,3694
cosmet,2555
prelov,4908
maybellin,10033
super,4440
fresh,2208
satto,27
night,3648
kat,261
von,270
shade,3600
x,1049
salli,185
brown,1215
15g,725
mari,600
lou,926
maniz,1397
minion,173
edit,2580
23,990
nivea,495
men,303
post,283
shave,279
lighten,4165
two,5264
way,5303
