word,freq
retro,7039
floral,12428
dress,100445
sifon,18290
korean,8032
white,4664
chiffon,8243
collar,2568
women,34778
trendi,582
apricot,84
neck,74674
solid,4619
blous,21775
lbed,1
big,3368
sale,3376
baju,15886
gami,3475
pesta,27279
india,39
aysilla,1
pancar,1
maxidress,199
full,1319
bordir,4462
jersey,2733
real,889
pict,360
bayar,7717
di,8081
tempat,7707
bodycon,12254
tanpa,26184
lengan,139425
dengan,30916
hiasan,3282
renda,10959
untuk,72672
wanita,108633
gaun,19985
mini,21907
malam,5777
patchwork,6144
punggung,156
panjang,75116
leher,1965
v,44639
ramp,442
seksi,1232
fashion,18106
kasual,2493
bergaya,10454
siang,8
kotak,2334
paket,91
hip,774
diata,9
lutut,143
pendek,37436
cardi,54
velvet,3967
emboss,140
payet,528
putih,10537
1110,1
bkk,387
mozaic,6
swan,11
100,1395
bhn,375
linen,4100
print,37361
aplikasi,150
kerah,11689
fit,6796
xl,3109
ritslet,57
corak,98
pola,183
model,57852
ketat,546
warna,34324
warni,352
l,5586
polka,1050
dot,1306
bulat,669
ukuran,9768
xxl,2141
hitam,9481
boho,3618
vintag,9400
nagita,58
brokat,9274
fs1623,2
pakaian,3081
menyilang,92
hia,255
berlubang,41
dilipat,6
pnajang,1
ular,105
bahan,41308
hc,92
brocad,975
terusan,736
import,13123
sexi,40193
sleeveless,9055
polo,52642
premium,3536
bjf028,1
ld,840
110,101
116,36
120,96
132,15
brukat,6428
kearta,6
plain,1973
5xl,803
lace,33205
super,1345
jumbo,4924
jual,816
grosir,3062
denim,5266
embroideri,2184
size,8896
13915,1
murah,14161
berkualita,1525
tutu,256
cocktail,6102
tile,656
parti,11147
longdr,43
new,10632
cyber,2
acevog,21
flower,2383
even,3162
g,382
matern,135
pregnant,90
loos,8828
color,3196
style,3845
turn,579
dijual,588
1248,2
red,2213
satin,2616
cewek,4404
merah,4076
termurah,3520
371pr,1
kombi,346
toska,44
spandex,778
freesiz,18
sweet,777
blue,3623
elizabet,3
tulip,31
crew,1708
ombak,32
hari,431
kelelawar,60
batw,1275
dan,19518
deep,4769
love,472
knee,612
length,810
ball,425
gown,1112
readystock,75
shoulder,20773
shirt,45349
short,9652
sleev,29878
2,1666
piec,766
bandag,3360
jahitan,1263
wol,543
backless,6410
low,794
vneck,1104
korea,13643
pink,3525
skon,10
long,29661
silk,1980
sutra,463
637pr,1
babi,577
princess,486
girl,1256
kid,134
ruffl,5737
chleo,1
eleg,3327
terbaru,3348
elegan,6215
asimetri,3265
hl,62
midi,9917
casual,41204
brand,2374
hollist,12
slim,16578
bohemian,1696
pantai,5419
cold,1096
motif,44999
gaya,8578
pensil,1326
desain,3093
mesh,2416
hijau,1325
line,4998
longgar,23153
pita,2605
katun,11179
halter,3392
kupu,666
zztim,3
maxi,13713
reslet,1175
tali,6481
bunga,15372
belahan,634
samp,670
ada,4461
besar,7121
3,7054
4,6746
aksen,3839
pinggang,2118
depan,737
daun,649
zaful,205
flare,3875
ikat,905
boneka,128
block,154
hoodi,2866
hem,3843
rumbai,813
polyest,916
blazer,249
cincin,18
formal,2227
sabrina,4468
lipit,2116
happi,66
swing,1366
round,6740
zanzea,757
kemben,362
musim,32274
pana,22072
uebuy,4
biru,3404
leth,592
bell,653
adjust,155
2017,1089
xia,79
mingyuan,3
suit,394
skirt,1942
two,633
stitch,1011
shawl,281
word,213
hot,3065
busui,848
friendli,59
bow,893
mariah,18
7,246
luaran,176
bikini,753
back,1367
cross,724
strap,3019
split,1092
kontra,411
beach,2969
spaghetti,2797
skater,449
stripe,14046
squar,1644
bloc,1
pullov,2680
sandra,55
busana,589
muslim,2382
lebaran,282
kapuchong,1
ema,389
totem,32
jumpsuit,1042
21560,3
spandek,1221
simpl,2066
santai,522
tengkorak,252
labu,65
halloween,338
ulo,250
high,4878
waist,3591
turtleneck,907
leopard,1340
coker,6
rayon,3431
wd1117,5
polkadot,1450
1950,87
atasan,15585
bahu,1329
hollow,5777
impor,900
saten,181
gow,8
night,257
bagu,1158
vell,111
overal,162
green,935
flounc,273
209188,5
topfir,3
sling,842
kualita,933
tinggi,1743
mewah,903
pernikahan,1280
scoop,520
sabuk,479
basic,10883
etnik,627
semi,3394
2070,2
kawai,182
tartan,126
coklat,501
tone,133
cloth,1522
brasso,1
mix,928
straight,169
rajut,4270
pisang,27
digit,333
frill,151
frilli,11
crochet,1005
black,5710
bangkok,932
racerback,33
club,2768
carol,11
kantor,2999
orb,11
cardigan,1356
cni,22
edit,437
mansel,1
stretch,1095
cina,555
tebal,885
saku,1420
almeira,4
readi,3954
stock,2723
slavina,11
bohemia,679
jia,3
bertali,401
set,1720
lingeri,747
tembu,613
pandang,598
string,159
gari,7242
ibu,530
hamil,509
menyusui,107
lariss,3
hijab,988
98,64
pagoda,55
monoblock,1
orang,369
skinni,431
blu,28156
tinta,43
potongan,6629
prom,1532
kemeja,16270
berkerah,348
mermaid,691
sequin,978
pengir,76
pengantin,320
plu,4690
pencil,1194
sambungan,937
setengah,1047
stylish,416
kao,43807
grey,684
tank,7753
knit,1938
belt,900
summer,11358
har,91
damen,3
look,126
lose,10
freizeit,1
top,28510
lotu,592
leaf,258
boat,574
cut,1101
cap,342
pleat,1028
cotton,10606
partywear,1
kaftan,426
wear,659
wed,1347
tight,214
longdress,711
abaya,203
ammor,3
ori,642
flh,10
button,1847
lapel,1162
asymmetr,380
hood,1226
waterfal,8
sweatshirt,1074
st,136
ladi,5322
agood,4
sheer,453
product,745
limit,1009
layer,478
19305,7
autumn,4934
slash,1347
romanc,25
xs,229
origin,2687
bigbang,548
2018,6816
falbala,97
match,234
beludru,853
pasang,176
rok,2657
baru,3836
terri,29
free,1261
ongkir,1341
us,76
idgb,118
crg181072,2
tie,958
fairi,114
vestido,468
eea,10
2pc,586
versi,2124
karet,462
recommend,44
cn,170
63131,5
puspa,5
maroon,945
cantik,1892
slete,97
beauti,666
emili,59
bridesmaid,983
one,961
robe,253
de,291
marie,10
ship,88
design,370
bright,48
open,574
leg,174
setelan,1446
ab719571,1
manda,3
barokkkkahhhh,9
sweater,6447
gugur,8285
doo,9
wave,211
point,219
aii,9
crop,8256
spring,2028
warm,321
sens,19
sulam,155
amaz,282
romper,809
harga,2083
chic,1407
tipi,1884
gambar,1585
kartun,1141
sepatu,19
flat,14
toe,6
modern,1234
pastel,232
ds713,3
fm,324
girlmaid,358
femal,2495
student,597
fake,202
cord,31
puff,355
harajuku,862
keluarga,196
pelindung,38
matahari,154
2648,1
no.1,224
famili,298
selutut,836
mt,117
karina,5
discount,144
d032r,1
arriv,278
merek,65
bbm290518,1
promo,6158
beli,336
grati,572
1,1077
socci,12
lavend,21
perahu,5
strapless,839
h,721
navi,2182
elasti,1237
caramel,37
slide,8
