word,freq
appl,5188
iphon,27453
4s,745
back,725
glass,1881
spare,9
part,29
origin,14530
replac,118
putih,1734
64gb,20121
white,2811
samsung,33201
sm,1068
b310e,253
piton,205
dual,4491
sim,3803
caramel,147
gt,243
e1272,128
32,4068
mb,75
garskin,413
soni,5637
experia,246
z,320
z1,427
z2,785
ultra,774
lcd,2924
xiaomi,12914
redmi,3605
4,9446
touchscreen,1957
32mb,8
black,14051
4g,5647
8gb,2201
blackberri,1350
torch,44
1,25068
9800,17
gsm,889
garansi,31138
distributor,2833
2,21510
tahun,10756
keyston,330
3,8033
b109e,183
galaxi,22438
j5,1661
j,113
500g,4
8,4990
gb,7418
hitam,4569
j1,705
mini,1348
j105,36
5,7596
16gb,7807
fullset,3641
mulu,3547
lenovo,2557
6000,19
se,753
16,2240
keypad,17
9360,27
3pro,25
3s,115
6s,4312
thn,766
platinum,603
5s,3805
32gb,13841
baru,3794
nokia,5756
230,105
resmi,24306
new,14204
j2,1037
j200g,17
hdc,385
s7,1826
quadcor,166
uag,158
urban,55
armor,1147
gear,299
trooper,2
seri,890
7,7346
plu,14149
6,10943
100,3208
bersegel,20
princ,209
pc9000,47
purpl,460
edit,2225
rosegold,671
second,5507
i9082,12
pale,553
murah,7364
5c,724
biru,575
j7,1956
infinix,900
zero,226
x555,33
keluaran,9
pertama,32
tg,70
hardcas,239
smartcov,2
asuransi,95
gold,10567
like,1095
sale,5635
note,8194
edg,1442
spek,60
ori,4161
pin,170
d5cbbdab,2
xiomi,1257
note4,91
lte,3450
ram,22461
3gb,5279
intern,4721
s6,1251
flip,623
wallet,185
quero,6
p4,10
3g,1265
android,1955
ipad,2003
cellul,84
wifi,1944
oppo,21283
f1,3354
dijual,713
berkualita,1313
lipat,79
c3520,7
pink,440
andromax,649
bonu,2691
65gb,23
terlari,2478
e1,40
silver,3136
vivo,11922
v5,1635
asu,7870
zenfon,6727
blackphon,21
anti,1334
sadap,12
nego,201
tipi,110
bayar,146
di,2424
tempat,144
hard,780
plastic,15
cell,398
phone,1045
cover,1892
4.7,239
zuk,62
4gb,9882
inter,1163
1th,416
xiaumi,6
64,5225
16x,2
ata,28
bluray,5
disc,100
rewrit,1
bw,6
16d1ht,2
blu,9
ray,36
optic,33
drive,95
z10,112
xperia,4209
zr,262
docomo,737
flat,678
headset,445
earphon,403
hf,44
tab,1726
t111,14
grand,264
prime,1880
case,5405
custom,72
softcas,671
tipe,106
hp,1656
lengkap,485
promo,32873
rug,461
kickstand,26
diskon,6195
a328,4
kitkat,25
quad,196
core,1168
1gb,703
1tahun,743
v5plu,33
baterai,1457
lg,1392
g3,112
bl,130
53yh,5
king,41
aluminium,104
stainless,51
bumper,193
hari,6524
ini,6038
saja,444
sandisk,177
ultra16gb,1
micro,498
sd,263
48mb,22
class,227
10,1254
stok,1842
bluetooth,598
vr,133
cardboard,10
gamepad,70
remot,80
shutter,27
menarik,100
rakkipanda,64
g4,93
51yf,1
doubl,712
power,1028
6000mah,12
ter,93
hot,2300
onyx,134
5pc,5
set,1068
kabel,718
penghubung,2
fleksibel,124
untuk,1186
sinyal,75
antena,85
gp,189
z3,1136
atau,241
z4,365
warna,1263
normal,384
w,92
sgh,15
t589,3
i8150,5
oem,238
babi,124
skin,567
thin,305
red,3438
121104,1
c9,499
pro,9396
bnib,3545
buzzer,130
bazer,23
bezer,4
speaker,346
lagu,29
aktif,143
3310,361
combinasi,1
crome,4
z5,1039
compact,494
5g,185
terlock,1
card,469
x2,129
01,150
refurbish,593
bulan,1812
xz,328
g8232,15
singapor,119
evercoss,996
a54b,11
a74,13
winner,179
compo,3
advan,2481
vandroid,441
s7a,41
note2,33
jual,1472
f3,1479
pack,113
singl,846
ex,1818
global,743
99,280
5se,77
wiko,117
sunset,9
